id,lng,lat
539,-3.194460,51.593392
540,-3.192887,51.500936
541,-3.191782,51.528763
542,-3.191716,51.478783
543,-3.191657,54.116579
544,-3.191161,51.515398
545,-3.190375,51.440949
546,-3.189993,51.054290
547,-3.188832,51.424127
548,-3.187372,50.798811
549,-3.186579,51.471573
550,-3.184403,51.465414
551,-3.181266,51.495918
552,-3.181223,51.539872
553,-3.179757,53.373071
554,-3.179383,54.153095
555,-3.177643,51.799792
556,-3.176936,51.489702
557,-3.175530,53.395408
558,-3.175285,51.439380
559,-3.173792,52.969525
560,-3.173348,54.826776
561,-3.171695,51.467071
562,-3.170576,51.513769
563,-3.170431,51.495959
564,-3.169475,50.713282
565,-3.169032,51.462817
566,-3.166309,51.620071
567,-3.165827,51.489915
568,-3.164515,51.524750
569,-3.162515,51.774865
570,-3.161918,51.680297
571,-3.161859,51.503585
572,-3.161430,53.370059
573,-3.158005,51.485439
574,-3.156634,51.496327
575,-3.154342,51.514596
576,-3.153438,51.592946
577,-3.151853,51.482447
578,-3.150370,50.848440
579,-3.150044,51.863659
580,-3.146520,51.665706
581,-3.146235,51.525061
582,-3.145342,53.166039
583,-3.144400,52.662518
584,-3.143301,52.607855
585,-3.142038,53.400592
586,-3.141273,53.141170
587,-3.140674,51.533849
588,-3.140463,51.488353
589,-3.139174,53.240597
590,-3.137044,51.021381
591,-3.136646,51.734487
592,-3.135146,51.703952
593,-3.134575,54.258238
594,-3.132690,54.600486
595,-3.129622,51.639310
596,-3.129191,53.245060
597,-3.128596,51.505747
598,-3.127158,51.517332
599,-3.126256,51.003681
600,-3.120328,53.377228
601,-3.119766,51.526554
602,-3.117815,53.390726
603,-3.114204,53.401321
604,-3.114045,51.514906
605,-3.114027,53.353671
606,-3.108433,51.032019
607,-3.107698,53.169733
608,-3.105361,51.009643
609,-3.103301,53.181121
610,-3.103285,51.022943
611,-3.101812,54.179408
612,-3.100900,53.334906
613,-3.100763,54.820655
614,-3.100713,52.734976
615,-3.100547,53.406011
616,-3.099915,51.521876
617,-3.098989,53.388554
618,-3.096430,51.606951
619,-3.096227,53.416740
620,-3.094886,51.033632
621,-3.093834,51.523062
622,-3.093569,53.350789
623,-3.089914,53.324707
624,-3.089602,54.194231
625,-3.085956,53.374576
626,-3.085783,51.607822
627,-3.085404,51.147459
628,-3.084176,50.996316
629,-3.082383,51.013305
630,-3.081909,51.773550
631,-3.080948,53.385066
632,-3.077939,52.810850
633,-3.077435,51.819646
634,-3.075249,53.550394
635,-3.074616,53.165747
636,-3.074004,52.975711
637,-3.073700,50.710298
638,-3.072609,53.205323
639,-3.072366,53.563124
640,-3.070784,51.020375
641,-3.068431,53.402041
642,-3.066768,53.004190
643,-3.066334,53.213520
644,-3.066243,51.732362
645,-3.065575,53.425411
646,-3.065383,53.219391
647,-3.065254,53.294683
648,-3.063389,53.375078
649,-3.062329,53.058757
650,-3.061926,52.314524
651,-3.059128,53.560686
652,-3.059004,52.939703
653,-3.058662,52.857438
654,-3.058493,53.395577
655,-3.058286,53.282822
656,-3.057340,51.547068
657,-3.054981,53.009369
658,-3.054906,51.593441
659,-3.054039,53.550951
660,-3.053765,53.425450
661,-3.052987,50.742286
662,-3.052514,51.645686
663,-3.052158,53.185708
664,-3.052063,51.578886
665,-3.051395,53.830903
666,-3.051015,53.801180
667,-3.050203,53.369087
668,-3.048714,53.787793
669,-3.048564,53.385072
670,-3.047595,53.416869
671,-3.047209,51.714534
672,-3.046815,53.852264
673,-3.046745,51.702359
674,-3.045792,53.597774
675,-3.045755,51.657581
676,-3.045532,51.637985
677,-3.044667,53.816242
678,-3.044434,53.435770
679,-3.043196,53.825287
680,-3.042758,53.910332
681,-3.040335,52.860373
682,-3.040087,53.834059
683,-3.040073,53.409229
684,-3.039387,53.811225
685,-3.039275,53.783143
686,-3.039137,53.149277
687,-3.038941,53.110758
688,-3.038900,53.882613
689,-3.038302,52.907541
690,-3.038283,53.427537
691,-3.038055,53.869900
692,-3.038022,53.800586
693,-3.036759,53.492180
694,-3.036660,53.018186
695,-3.036287,53.378699
696,-3.036006,53.483126
697,-3.035824,53.209146
698,-3.034510,53.062214
699,-3.032949,53.419149
700,-3.032838,52.992027
701,-3.032559,53.920488
702,-3.032403,53.601833
703,-3.031163,53.842559
704,-3.031105,51.646402
705,-3.030360,53.908361
706,-3.030337,53.391744
707,-3.029456,53.856916
708,-3.028927,51.610801
709,-3.027797,53.764339
710,-3.027761,53.822750
711,-3.027605,53.753700
712,-3.027009,51.662176
713,-3.026584,51.682361
714,-3.026444,53.797968
715,-3.026089,53.478898
716,-3.025769,53.381934
717,-3.025379,51.025385
718,-3.024968,53.412480
719,-3.024722,53.072326
720,-3.023948,53.807178
721,-3.023945,53.787599
722,-3.023581,53.879134
723,-3.023181,51.829375
724,-3.022754,53.369420
725,-3.021587,51.130394
726,-3.020398,53.360793
727,-3.018533,53.632969
728,-3.018412,53.349709
729,-3.018029,51.577089
730,-3.017499,53.922113
731,-3.017153,53.830897
732,-3.016558,53.487704
733,-3.016485,52.193178
734,-3.016411,53.197452
735,-3.016150,53.470185
736,-3.015495,51.563803
737,-3.015171,51.587304
738,-3.014011,53.619292
739,-3.013622,53.372971
740,-3.013031,51.830933
741,-3.009132,51.094563
742,-3.008627,53.498320
743,-3.008365,53.876715
744,-3.007875,51.692760
745,-3.007778,51.659492
746,-3.007489,51.637504
747,-3.006765,53.078896
748,-3.006658,51.118839
749,-3.005020,51.132270
750,-3.004904,51.613578
751,-3.004901,53.291404
752,-3.004733,53.463304
753,-3.004352,53.335362
754,-3.003472,53.800834
755,-3.002976,53.639080
756,-3.002526,53.755576
757,-3.002211,51.583880
758,-3.000843,53.041188
759,-3.000522,51.598540
760,-2.999833,53.361633
761,-2.999081,53.651222
762,-2.998423,53.839168
763,-2.998333,53.868052
764,-2.997939,53.476958
765,-2.997734,53.744213
766,-2.996440,53.348738
767,-2.996267,53.487116
768,-2.996244,53.459384
769,-2.994863,53.060367
770,-2.993589,53.450009
771,-2.992932,51.238935
772,-2.992777,52.555680
773,-2.992287,53.410907
774,-2.992134,50.783265
775,-2.989804,53.848522
776,-2.989787,51.576840
777,-2.988248,53.634545
778,-2.986467,53.471303
779,-2.986108,53.423016
780,-2.984482,53.397401
781,-2.984001,54.892756
782,-2.983998,51.252614
783,-2.983859,53.056459
784,-2.982892,51.132581
785,-2.982644,53.316371
786,-2.982547,53.329846
787,-2.982029,51.597469
788,-2.982029,53.039750
789,-2.981141,53.644431
790,-2.980367,51.225187
791,-2.979981,53.448705
792,-2.979459,53.658053
793,-2.978973,53.436459
794,-2.978083,53.462775
